발행처,빈도
한밭대학교 한밭대학원,2
대전대학교 한의대학원,2
Torch Trinity Graduate University,2
한국대학교 일반대학원,2
TORCH TRINITY GRADUATE UNIVERSITY,2
대진대학교 통일학과,2
한국산업기술대학교 산업기술경영대학원,2
과학기술연합대학원대학교 한국생명공학연구원 스쿨,2
Graduate School of Pai Chai University,2
강원대학교 일반대학원,2
SOONCHUNHYANG UNIVERSITY GRADUATE SCHOOL,2
계명대학원 일반대학원,2
한밭대학교,2
University of Science & Technology,2
호남대학교 호남대학원,1
총신대학교 선교대학원,1
경운대학교 일반대학원 경호학과,1
대전대하교 한의학과 대학원,1
한국방송통신대학교 대학원 평생교육학과,1
한서대학교 정보산업대학원,1
선문대학교(성화신학교),1
울산대학교대학원,1
서울시림대학교 일반대학원,1
청주교육대학교 초등상담교육대학원,1
한밭大學校 産業大學院,1
배재대학교 대학원 한국어교육학과,1
세한대학교 경영학과대학원,1
서울교욱대학교 대학원,1
서울교욱대학교 교육전문대학원,1
호서대학원,1
전주교육대학교 대학원,1
안양대학교 교육대학원,1
울산대학교  일반대학원,1
호남신학대학교 사회복지대학원,1
한성대학원 지식서비스&amp;컨설팅대학원,1
서울시립대핵교 일반대학원,1
상지대학교 평화안보·상담심리 대학원,1
호남대학교 스포츠과학대학원,1
배재대학교 관광축제한류대학원장,1
신라대학교  상담치료대학원,1
극동대학교 보건과학대학원,1
한국침례신학대학교 신학대학원,1
한서 대학교 대학원,1
국제영어대학원대학교,1
경성대학교 일반대학원 교육학과,1
안동대학교 안동대학원,1
광주대학교 보건정책상담대학원,1
용인대학교 문호예술대학원,1
호서대학교 경영학과,1
한세대학교,1
협성대학교  일반대학원,1
동덕여자대학교  대학원,1
과학기술 연합 대학원 대학교,1
대전대학교 보건의료 대학원,1
경성대학교 일반 대학원,1
진주교육대학교대학원,1
호서대학원 벤처대학원,1
"호남대학교,문화예술경영대학원",1
일반대학원 영화학과,1
세종대 산업대학원,1
Keimyung University Graduate School,1
호남대학교 일반대학윈,1
게명대학교 대학원,1
조선대학교 대학월,1
호남대학교，사회융합대학원,1
서울사이버대학교 휴먼서비스대학원,1
과학기술연합대학원대학교 한국원자력의학원 방사선종양의과학,1
시립대학교 일반대학원,1
General Trias College of Cavite (GTCC),1
대진대학교 문화예술전문대학원,1
세종관광대학원,1
"호남대학교,일반대학원",1
배재대학교 일반대학관,1
대전대학교 교육대학원,1
상지대학교  평화안보·상담심리대학원,1
덕성여자대학교 미술대학원,1
한경대학교 공공정책대학원,1
동신대학교 대학원 에너지환경공학과,1
한국서학교 교육대학원,1
배재대학교 사이버보안대학원,1
광주대학교 사회복지전문대학원,1
협성대학교 경영학과,1
건구대학교 경영대학원,1
견국대학교 대학원,1
호서대학교 융합공학과,1
울산대학교 경영대학원,1
한국침례신학대학교 상담대학원,1
호남대학교 융합대학원,1
한국방송통신 대학교 대학원 법학과,1
협성대학교 일반 대학원,1
협성대학교,1
웨스트민스터신학대학원대학교 (WESTMINSTER GRADUATE SCHOOL OF THEOLOGY),1
영산대학교 일반 대학원,1
"호남대학교,사회융합대학원",1
세한대학교 경영대학원,1
남부대학교 보건경영대학원,1
을지대학교 보건복지대학원,1
부산가톨릭대학교 간호대학원,1
호남대하교 사회용합대학원,1
호남대학교 한국어교육학과 한국어교육전공,1
경북대학과 대학원,1
인제대학원,1
동덕여자대학교 미래전략융합대학원,1
강릉대학교 대학원,1
동서대학교 대학원 일반대학원,1
광주야자대학교 일반대학원,1
국립공주대학교 대학원,1
한서대학교대학원,1
호남대학교 일반경영대학원,1
동신대학교 에너지대학원,1
신한대학교 일반 대학원,1
동신대학교 사회개발대학원,1
장로회신학대학원 일반대학원,1
한양사이버 대학교 대학원,1
서울상담심리대학원 대학교,1
한밭대학교 정보통신대학원,1
부산가톨릭대학교 대학원 방사선학과,1
인청대학교 대학원,1
웨스트민스트신학대학원대학교,1
한밭대학교 - 대학원,1
배재대학교 사이버보안학과,1
초당대학교 일반대학원 사회체육학과,1
영산대학교 법무·경영대학원,1
위덕대학교,1
한국생명공학연구원 UST KRIBB School,1
호남대학교 체육대학 체육학과,1
남부대학교 간호학과,1
청주대학교 사회복지·행정대학원,1
한국성서대학교 보육대학원,1
경일대학교 메카트로닉스공학,1
경일대학원 일반대학원,1
국민대 테크노디자인전문대학원,1
과학기술연합대학원대학교 KRIBB school,1
순천대학교 도서관,1
경의대학교 대학원,1
대구가톨릭대학교 교육대학원,1
경희사이버대학교대학원 문화창조대학원,1
원과대학교 일반대학원,1
"대학원, 기계공학과, 한밭대학교",1
TRINH THI LY 국립 한밭대학교,1
호남대학교 사회융합대학교,1
국제뇌교육종합대학원대학교 대학원,1
경가대학교 대학원,1
계명대학교 환경대학원,1
한림대학교 특수대학원,1
한세대학교 한세대학원,1
서울여자대학교 사회복지·기독교대학원,1
동서대학교 디자인 대학원,1
장신대학교 일반대학원,1
과학기술대학원 토목공학과,1
웨스트민스터신학대학원대학교  신학대학원,1
국립안동대학교 한국문화산업전문대학원,1
경영대학교 대학원,1
경성대학교,1
서울여자대학교 대학원 일반대학원,1
배재대학교 일반 대학원,1
광주교육대학교 교육대학원 컴퓨터교육전공,1
부산가톨릭대학교 일반 대학원,1
성결대학교 신학전문대학원,1
동서대학교디자인전문대학원,1
영남대학교 스포츠과학대학원,1
상지대학교 평화안보⋅상담심리대학원,1
Hanbat University,1
간국대학교 대학원,1
루터대학교 루터대학원,1
선문대학교 신학대학원,1
서울한영대학교대학원,1
순천향 대학교 의학대학원,1
한국산업기술대학교 산경대학원,1
서울여자대학교 대학원,1
배재대학교,1
한국방송통신대학교 법학대학원,1
국제뇌교육종합대학원,1
제주국제대학교,1
시립대학교 도시보건대학원,1
동서대학교,1
신한대학교 지속복지대학원,1
햔국교통대학교 일반대학원,1
과학기술연합대학원대학교 한국생명공학연구원,1
중원대학교 행정대학원,1
서울벤처대학원대학교 융합산업학과,1
"대전 대학교, 보건의료 대학원",1
경북대학원 농업생명융합대학원,1
중부대학교 인문산업대학원 자동차관리학과,1
장로회신학대학원 목회전문대학원,1
상지대학교 평화안보․상담심리대학원,1
울산대학교 임상간호대학원,1
배재대학교 대학원 동아시아학과,1
부산외국어대학교 통번역대학원,1
성결대학교 사회복지대학원,1
경성대학교일반대학원,1
한국대학교 대학원,1
경희사이버대학교 호텔관광대학원 관광레저항공MBA,1
동서대학교 선교복지대학원,1
한국교육대학원 교육대학원,1
Soonchunhyang,1
한세대 상담대학원,1
호남대학교 일반대학교,1
순천향대학교 미래융합대학원,1
東義大學校 産業文化大學院,1
