국가서지번호,출처기관제어번호,자료유형,표제와 책임표시사항,제목,부제목,저자,발행처,발행지역,발행지코드,내용유형,크기,가격,본문언어,분야
NBC202229965,KMO202254849,공공간행물,"온종일 돌봄 사회 / 필자: 김대현, 김민희, 김선미, 김수정, 김용, 김은지, 배정훈, 이숙정, 이희현, 정재훈, 황선준",온종일 돌봄 사회,No data,김대현(KAC201507920);김민희(KAC201330721);김선미(KAC201612602);김수정(KAC201611889);김용(KAC201210540);김은지(KAC201213835);배정훈;이숙정(KAC201855746);이희현;정재훈(KAC201213914);황선준(KAC201301275),대통령직속 정책기획위원회,서울,ulk,text,24 cm,25000,kor,"사회학,사회문제"
NBC202229966,KMO202306324,공공간행물,옹기 소박함과 단순함을 담다 : 민선 8기 출범기념 옹기 특별전 / 삼척시립박물관 [편],옹기 소박함과 단순함을 담다,민선 8기 출범기념 옹기 특별전,삼척시립박물관(KAB202206242),삼척시립박물관,삼척,gak,text,30 cm,No data,kor,"공예,장식미술"
NBC202229966,KMO202304779,공공간행물,"옹진군 패류종자 살포사업 효과조사(1년차) 사업보고서 / 주관기관명: 한국수산자원공단 ; 사업책임자: 이진호 ; 사업참여자: 이명준, 김주경, 성민지, 전진하, 박희원, 이재용, 황인수, 박규현, 임상민, 김승한",옹진군 패류종자 살포사업 효과조사(1년차) 사업보고서,No data,이진호;이명준;김주경;성민지;전진하;박희원;이재용;황인수;박규현;임상민;김승한;한국수산자원공단(KAB202008813),한국수산자원공단 ;옹진군,No data,ulk,text,30 cm,No data,kor,"건축,건축학"
NBC202229966,KMO202310389,공공간행물,"옻의 이해 = Understanding Ott, oriental lacquer / 집필/구성: 김만조",옻의 이해,No data,김만조(KAC201618676),국립산림과학원,서울,ulk,text,28 cm,No data,kor,"공예,장식미술"
NBC202229966,KMO202248894,공공간행물,"옻칠장(옻칠) 이의식 : 전라북도 무형문화재 제13호 / 연구진: 서동석, 이상훈, 이혜림",옻칠장(옻칠) 이의식,전라북도 무형문화재 제13호,서동석;이상훈;이혜림,전라북도 문화유산과,전주,jbk,text,23 cm,No data,kor,"공예,장식미술"
NBC202229966,KMO202269487,공공간행물,와도등대 외 3개소 정밀안전진단용역 종합보고서 / [연구기관]: 인프라플러스,와도등대 외 3개소 정밀안전진단용역 종합보고서,No data,인프라플러스,여수지방해양수산청,No data,jnk,text,30 cm,No data,kor,"공학,공업일반,토목공학,환경공학"
NBC202229966,KMO202317869,공공간행물,"완벽에 가까운 계획 : 2022. 이응노의집 창작스튜디오 제5기 입주예술가 중간보고전시. 2 / [편]: 홍성군, 이응노의집 ; 참여작가: 장동욱, 나광호, 권하얀",완벽에 가까운 계획,2022. 이응노의집 창작스튜디오 제5기 입주예술가 중간보고전시,장동욱;나광호;권하얀;충청남도.홍성군(KAB201911480);고암이응노생가기념관(KAB201903205),홍성군 이응노의집,홍성,hck,text,21 cm,No data,kor,예술
NBC202229966,KMO202248934,공공간행물,"완벽에 가까운 계획 : 2022. 이응노의집 창작스튜디오 제5기 입주예술가 중간보고전시 / 홍성군, 이응노의집 [편]",완벽에 가까운 계획,2022. 이응노의집 창작스튜디오 제5기 입주예술가 중간보고전시,충청남도.홍성군(KAB201911480);고암이응노생가기념관(KAB201903205),홍성군 이응노의집,No data,hck,text,21 cm,No data,kor,예술
NBC202229966,T16686138,공공간행물,"완전한 진실, 온전한 치유, 안전한 나라: 가습기살균제사건과 4·16세월호참사 특별조사위원회 운영 백서/ 가습기살균제사건과4·16세월호참사 특별조사위원회.","완전한 진실, 온전한 치유, 안전한 나라:",가습기살균제사건과 4·16세월호참사 특별조사위원회 운영 백서,오관영;변바른;이병국;박형섭;박항주;이태호;박상은;가습기살균제사건과 4·16세월호참사 특별조사위원회.,가습기살균제사건과4·16세월호참사 특별조사위원회,서울,ulk,text,26 cm.,비매품,kor,"사회학,사회문제"
NBC202229966,KMO202236635,공공간행물,"왕겨 고기능성, 고부가가치 산업소재화 공정 기술 개발 및 상용화 : 농축산물안전유통소비기술개발사업 2021년도 최종보고서 / 주관연구기관명: 한국세라믹기술원 ; 협동연구기관명: 네이처코스텍, 동아대학교 산학협력단, 아미노랩 ; 주관연구책임자: 이진형 ; 협동연구책임자: 전소영, 황이택, 박해성","왕겨 고기능성, 고부가가치 산업소재화 공정 기술 개발 및 상용화",농축산물안전유통소비기술개발사업 2021년도 최종보고서,이진형;전소영;황이택;박해성;한국세라믹기술원;네이처코스텍;동아대학교.산학협력단(KAB201904188);아미노랩,농림축산식품부,No data,sjk,text,30 cm,No data,kor,화학공학
